,date,time,room,title
0,2024-06-12,20:20,Sala Marilyn,Obsesja
1,2024-06-12,20:20,Sala Audrey,Do usług szanownej pani
2,2024-06-12,20:30,Sala Charlie,Jedno życie
3,2024-06-13,15:30,Sala Marilyn,Pianoforte
4,2024-06-13,15:30,Sala Charlie,Lekcje tolerancji
5,2024-06-13,15:30,Sala Audrey,W nich cała nadzieja
6,2024-06-13,16:55,Sala Marilyn,Totem
7,2024-06-13,17:05,Sala Charlie,Opadające liście
8,2024-06-13,17:10,Sala Audrey,Pieśni wielorybów
9,2024-06-13,18:30,Sala Audrey,Perfect Days
10,2024-06-13,18:30,Sala Marilyn,Jutro będzie nasze
11,2024-06-13,18:30,Sala Charlie,Jedno życie
12,2024-06-13,18:45,Cafe,Wolni. Podróż do wnętrza
13,2024-06-13,20:30,Sala Charlie,"Ja, ""Pobieda"" i Berlin"
14,2024-06-13,20:30,Sala Marilyn,Do usług szanownej pani
15,2024-06-13,20:30,Sala Audrey,Monster
16,2024-06-13,20:45,Cafe,Samsara
17,2024-06-14,16:00,Sala Audrey,Setki bobrów
18,2024-06-14,16:30,Sala Charlie,Wolni. Podróż do wnętrza
19,2024-06-14,16:45,Sala Marilyn,Cztery córki
20,2024-06-14,17:45,Sala Audrey,Do granic
21,2024-06-14,18:15,Sala Charlie,Jedno życie
22,2024-06-14,18:30,Sala Marilyn,Jutro będzie nasze
23,2024-06-14,18:45,Cafe,Strefa interesów
24,2024-06-14,19:05,Sala Audrey,Test na teściów
25,2024-06-14,20:15,Sala Charlie,Królestwo zwierząt
26,2024-06-14,20:30,Sala Marilyn,Perfect Days
27,2024-06-14,20:40,Sala Audrey,Do usług szanownej pani
28,2024-06-14,20:45,Cafe,Obsesja
29,2024-06-15,15:00,Sala Audrey,Basia. Jestem w sam raz
30,2024-06-15,15:30,Sala Charlie,Opadające liście
31,2024-06-15,15:50,Sala Audrey,The Old Oak
32,2024-06-15,16:40,Sala Marilyn,Smak wolności
33,2024-06-15,17:00,Sala Charlie,Pamięć
34,2024-06-15,18:00,Cafe,Wolni. Podróż do wnętrza
35,2024-06-15,18:40,Sala Marilyn,Perfect Days
36,2024-06-15,18:45,Sala Audrey,Test na teściów
37,2024-06-15,18:45,Sala Charlie,Bękart
38,2024-06-15,19:20,Sala Audrey,Do granic
39,2024-06-15,20:15,Cafe,Anatomia upadku
40,2024-06-15,20:40,Sala Audrey,Do usług szanownej pani
41,2024-06-15,20:40,Sala Marilyn,Jutro będzie nasze
42,2024-06-15,20:45,Sala Charlie,Królestwo zwierząt
